Management Area,Year,Total Visits,Full Day,Part Day,Scenic Flights,Coral Viewing,Exempt,Area
Cairns/Cooktown Management Area,2016,1419131,835471,106689,63907,270636,142428,Cairns/Cooktown
Far Northern Management Area,2016,4618,3075,252,0,0,1281,Far Northern
Mackay/Capricorn Management Area,2016,196870,112092,14569,292,3178,66739,Mackay/Capricorn
Townsville/Whitsunday Management Area,2016,1146399,755073,153766,41147,3053,193360,Townsville/Whitsunday
Cairns/Cooktown Management Area,2017,1397565,831900,97394,69139,261612,137520,Cairns/Cooktown
Far Northern Management Area,2017,6217,3449,211,0,0,2557,Far Northern
Mackay/Capricorn Management Area,2017,191785,116952,9178,19,3247,62379,Mackay/Capricorn
Townsville/Whitsunday Management Area,2017,1000477,699970,126761,36959,447,136334,Townsville/Whitsunday
Cairns/Cooktown Management Area,2018,1328274,806280,93293,69776,233424,125501,Cairns/Cooktown
Far Northern Management Area,2018,6173,3871,265,0,0,2035,Far Northern
Mackay/Capricorn Management Area,2018,191604,114911,11140,0,3083,62465,Mackay/Capricorn
Townsville/Whitsunday Management Area,2018,1034939,739915,117747,28857,0,148409,Townsville/Whitsunday
Cairns/Cooktown Management Area,2019,1219960,760049,84580,63657,213224,98450,Cairns/Cooktown
Far Northern Management Area,2019,5036,3043,232,0,0,1761,Far Northern
Mackay/Capricorn Management Area,2019,195805,120030,13288,0,2538,59949,Mackay/Capricorn
Townsville/Whitsunday Management Area,2019,951161,699199,127917,12828,0,111211,Townsville/Whitsunday
Cairns/Cooktown Management Area,2020,369485,256084,31329,14149,47140,20783,Cairns/Cooktown
Far Northern Management Area,2020,1966,1100,98,0,0,768,Far Northern
Mackay/Capricorn Management Area,2020,116384,64390,8800,0,2902,40290,Mackay/Capricorn
Townsville/Whitsunday Management Area,2020,441400,292946,83508,4220,0,60726,Townsville/Whitsunday
Cairns/Cooktown Management Area,2021,432845,297573,55909,7822,52148,19393,Cairns/Cooktown
Far Northern Management Area,2021,5860,3745,135,0,0,1980,Far Northern
Mackay/Capricorn Management Area,2021,163393,76135,22193,0,6975,58090,Mackay/Capricorn
Townsville/Whitsunday Management Area,2021,632923,338746,183537,7114,189,103335,Townsville/Whitsunday
Cairns/Cooktown Management Area,2022,833623,578812,75686,18411,112463,48251,Cairns/Cooktown
Far Northern Management Area,2022,7724,5415,214,0,0,2095,Far Northern
Mackay/Capricorn Management Area,2022,160671,86327,11284,0,5857,57203,Mackay/Capricorn
Townsville/Whitsunday Management Area,2022,1002950,579069,277266,14005,0,132610,Townsville/Whitsunday
Cairns/Cooktown Management Area,2023,904075,603115,65008,26677,156455,52820,Cairns/Cooktown
Far Northern Management Area,2023,7188,4340,541,0,0,2307,Far Northern
Mackay/Capricorn Management Area,2023,177151,101307,29983,0,3902,41959,Mackay/Capricorn
Townsville/Whitsunday Management Area,2023,997386,638292,189843,31988,12809,124454,Townsville/Whitsunday
Cairns/Cooktown Management Area,2024,949768,626629,68741,35134,179709,39555,Cairns/Cooktown
Far Northern Management Area,2024,5954,3693,121,0,0,2135,Far Northern
Mackay/Capricorn Management Area,2024,182967,91151,28053,0,4307,59450,Mackay/Capricorn
Townsville/Whitsunday Management Area,2024,1055652,729530,128465,63279,22332,112046,Townsville/Whitsunday
Cairns/Cooktown Management Area,2025,984308,632880,88807,35335,188718,38568,Cairns/Cooktown
Far Northern Management Area,2025,6920,3786,175,0,0,2940,Far Northern
Mackay/Capricorn Management Area,2025,175813,90648,20645,0,4736,59784,Mackay/Capricorn
Townsville/Whitsunday Management Area,2025,1083637,745804,122273,76707,24901,113952,Townsville/Whitsunday
